Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Year
spotify:track:2bjUEg4jBtKBlPdNrTAppI,Easier,CALM,5 Seconds of Summer,2020-03-27,158098,71,False,,5 Seconds Of Summer/Interscope,0.562,0.46,-4.173,1,0.259,0.476,0.0,0.107,0.623,176.055,4,2019
spotify:track:27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson,Miley Cyrus",2018-11-30,217466,74,False,,Columbia,0.601,0.794,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,4,2019
spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,How Do You Sleep?,Sam Smith,2019-07-19,202204,70,False,soft pop,PLG - Capitol,0.561,0.682,-4.931,0,0.0856,0.153,0.0,0.0763,0.359,165.944,4,2019
spotify:track:1tNJrcVe6gwLEiZCtprs1u,3 Nights,Don't Forget About Me Demos,Dominic Fike,2018-10-16,177666,75,False,,Columbia,0.815,0.518,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,4,2019
spotify:track:7LpMG3AEaIJgs62HQhAa91,i'm so tired...,~how i'm feeling~,"Lauv,Troye Sivan",2020-03-06,162586,74,False,,Lauv,0.548,0.735,-7.572,1,0.236,0.173,0.0,0.195,0.498,101.252,4,2019
spotify:track:2GGMabyHXnJmjY6CXhhB2e,Money,Money,Cardi B,2018-10-23,183527,75,True,,Atlantic/KSR,0.95,0.59,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,4,2019
spotify:track:5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Never Really Over,Katy Perry,2019-05-31,223523,71,False,pop,Capitol Records,0.77,0.882,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,4,2019
spotify:track:1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,2019-08-23,221306,87,False,,Taylor Swift,0.359,0.543,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,2019
spotify:track:3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,2019-04-19,173325,74,True,,Nice Life/Atlantic,0.715,0.624,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,4,2019
spotify:track:6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),Free Spirit,"Khalid,Disclosure",2019-04-05,197573,74,False,house,"Right Hand Music Group, LLC/RCA Records",0.9,0.4,-8.575,1,0.127,0.0516,0.0,0.0599,0.346,135.984,4,2019
