Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,"Falling Back","Honestly Nevermind","Drake",2022-06-17,266178,64,false,nick170708!,2022-06-17T04:12:01Z,"rap","OVO",0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,4
spotify:track:0sTlGEld0h8kIPZaKDYUf4,"Notion","Notion","The Rare Occasions",2021-12-02,195120,86,false,nick170708!,2023-05-08T01:36:38Z,"","Elektra (NEK)",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
spotify:track:1BSMpVGWs3v5BZKnAQziAc,"Light Switch","Light Switch","Charlie Puth",2022-01-20,185680,6,false,nick170708!,2022-01-23T15:43:28Z,"soft pop,pop","Atlantic Records",0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,4
spotify:track:62Yo3FDddWY8ydu6PW2wyz,"Nail Tech","Nail Tech","Jack Harlow",2022-02-18,206385,60,true,nick170708!,2022-03-28T20:50:27Z,"","Generation Now/Atlantic",0.677,0.557,1,-8.409,1,0.0694,0.00508,0.00000836,0.0984,0.1,150.127,4
spotify:track:59nOXPmaKlBfGMDeOVGrIK,"WAIT FOR U (feat. Drake & Tems)","I NEVER LIKED YOU","Future,Drake,Tems",2022-04-29,189893,85,true,nick170708!,2022-05-05T02:49:47Z,"rap,afrobeats,afro r&b,alté,afrobeat","Epic/Freebandz",0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,4
spotify:track:2KdKh9vHbKW0tZLqtpxxI0,"Honest (feat. Don Toliver)","Honest","Justin Bieber,Don Toliver",2022-04-29,193322,65,true,nick170708!,2022-05-05T02:49:59Z,"","Justin Bieber 2021 PS/ Def Jam",0.81,0.655,8,-6.779,0,0.0698,0.127,0.0000816,0.105,0.809,150.002,4
spotify:track:5S9Zs5g9lTWnLIboN1pdlU,"Fingers Crossed","Fingers Crossed","Lauren Spencer Smith",2022-01-05,175344,1,false,nick170708!,2022-01-16T05:45:35Z,"","Lauren Spencer-Smith",0.603,0.473,5,-7.23,1,0.0511,0.616,0,0.31,0.446,109.494,4
spotify:track:3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,87,false,nick170708!,2022-07-22T04:23:45Z,"","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
spotify:track:0IuVhCflrQPMGRrOyoY5RW,"she's all i wanna be","she's all i wanna be","Tate McRae",2022-02-04,206772,7,false,nick170708!,2022-03-28T21:02:04Z,"","RCA Records Label",0.614,0.644,2,-5.372,0,0.0426,0.0134,0.00000707,0.117,0.651,160.036,4
spotify:track:2TktkzfozZifbQhXjT6I33,"Evergreen (You Didn’t Deserve Me At All)","Ivory","Omar Apollo",2022-04-08,216680,76,false,nick170708!,2023-01-08T18:40:17Z,"bedroom pop","Warner Records",0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3
spotify:track:10SRMwb9EuVS1K9rYsBfHQ,"Yet To Come","Proof","BTS",2022-06-10,193593,71,false,nick170708!,2022-06-10T04:02:23Z,"k-pop","BIGHIT MUSIC",0.559,0.885,1,-4.515,1,0.189,0.0432,0,0.333,0.683,172.029,4
spotify:track:0hquQWY3xvYqN4qtiquniF,"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",2022-05-06,182906,75,true,nick170708!,2022-05-06T16:23:58Z,"","Kemosabe Records/RCA Records",0.801,0.601,8,-7.574,0,0.255,0.0777,0.0000323,0.145,0.74,159.969,4
spotify:track:5MMW4CZsZiZt2iuqAXzzWC,"The Heart Part 5","The Heart Part 5","Kendrick Lamar",2022-05-08,332228,57,true,nick170708!,2022-05-09T00:40:13Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.7,0.812,1,-8.128,0,0.297,0.183,0,0.0756,0.801,97.405,4
spotify:track:1Hohk6AufHZOrrhMXZppax,"ALIEN SUPERSTAR","RENAISSANCE","Beyoncé",2022-07-29,215459,73,true,nick170708!,2022-08-19T09:48:33Z,"","Parkwood Entertainment/Columbia",0.545,0.641,10,-6.398,0,0.0998,0.00453,0.0000659,0.171,0.464,121.892,4
spotify:track:2KnLkZ3z7PO3kgVGHGqDpD,"It'll Be Okay","It'll Be Okay","Shawn Mendes",2021-12-01,222800,74,false,nick170708!,2022-01-17T12:57:49Z,"","Shawn Mendes LP4-5 PS/ Island",0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,4
spotify:track:1O9AseW10CTi6nBLoj0O6K,"SKIN OF MY TEETH","SKIN OF MY TEETH","Demi Lovato",2022-06-10,162516,42,true,nick170708!,2022-06-10T03:59:42Z,"","Island Records",0.458,0.947,11,-2.308,0,0.221,0.0000129,0,0.179,0.478,130.941,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,89,true,nick170708!,2022-09-03T18:19:37Z,"edm,dance","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:72yP0DUlWPyH8P7IoxskwN,"Hold Me Closer","Hold Me Closer","Elton John,Britney Spears",2022-08-26,202245,75,false,nick170708!,2022-09-16T05:05:45Z,"pop","EMI",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,4
spotify:track:0WtM2NBVQNNJLh6scP13H8,"Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,84,false,nick170708!,2022-09-28T02:48:43Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Records / Jonzing World",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
spotify:track:0T5iIrXA4p5GsubkhuBIKV,"Until I Found You","Until I Found You","Stephen Sanchez",2021-09-01,177720,82,false,nick170708!,2022-10-28T20:28:46Z,"","Republic Records",0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,3
spotify:track:3rWDp9tBPQR9z6U5YyRSK4,"Midnight Rain","Midnights","Taylor Swift",2022-10-21,174782,77,false,nick170708!,2022-11-28T15:06:34Z,"","Taylor Swift",0.604,0.375,0,-11.637,1,0.0633,0.71,0.0000587,0.116,0.203,137.651,4
spotify:track:2g6tReTlM2Akp41g0HaeXN,"Die Hard","Mr. Morale & The Big Steppers","Kendrick Lamar,Blxst,Amanda Reifer",2022-05-13,239026,80,true,nick170708!,2023-01-08T18:40:06Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,4
spotify:track:4pi1G1x8tl9VfdD9bL3maT,"Big Energy","777","Latto",2022-03-25,172540,69,true,nick170708!,2023-01-08T18:40:10Z,"","Streamcut/RCA Records",0.937,0.793,11,-4.431,0,0.115,0.0453,0,0.341,0.794,106.022,4
spotify:track:3XOalgusokruzA5ZBA2Qcb,"pushin P (feat. Young Thug)","DS4EVER","Gunna,Future,Young Thug",2022-01-13,136266,72,true,nick170708!,2023-01-08T18:40:32Z,"melodic rap,rap,trap","300 Entertainment",0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1
spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,"THOUSAND MILES","THOUSAND MILES","The Kid LAROI",2022-04-22,164781,68,true,nick170708!,2023-01-08T18:42:36Z,"","Columbia",0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565,4
